engine	symbol	class	base_hash	xetex_hash	external_boundaries	diff
summary	shared_kept	411
summary	xetex_kept	0
summary	shared_TexOnly	0
summary	shared_AdaptedNativeIo	2
summary	shared_StrippedSourceSpecial	2
summary	shared_StrippedWriteWhatsitDiagnostic	1
summary	shared_StrippedPdfExtension	2
summary	shared_EtexProfileGated	7
summary	shared_NativeFontProfileGated	0
summary	shared_XetexOnlyProfileGated	0
summary	shared_TexCompatibleDuplicate	54
summary	shared_TexAdaptedDuplicate	0
summary	shared_BoundaryAdapterRequired	19
summary	shared_XetexWidenedDuplicate	324
summary	diff_IdenticalAfterNormalization	140
summary	diff_OnlyConstantsDiffer	9
summary	diff_SmallGuardedBehavior	86
summary	diff_HostBoundaryDifference	19
summary	diff_StateLayoutDifference	7
summary	diff_LargeSemanticDivergence	150
summary	diff_Unknown	0
summary	boundary_AdaptedNativeIo	2
summary	boundary_StrippedOutput	5
summary	boundary_StrippedNativeFontAssembly	1
shared	aftermath	XetexWidenedDuplicate	7b05e6299331bae6	1af9b62fea6ac0e1	Clean	LargeSemanticDivergence
shared	alignerror	XetexWidenedDuplicate	bbefb4205f2c5f8d	e73f6890bb3e8a5c	Clean	LargeSemanticDivergence
shared	alignpeek	XetexWidenedDuplicate	9b3ab6c188fc0a63	065179309bbab9dc	Clean	SmallGuardedBehavior
shared	alteraux	XetexWidenedDuplicate	c2bc3af936697d46	1c9662ebb21e7421	Clean	SmallGuardedBehavior
shared	alterboxdimen	XetexWidenedDuplicate	7897a18b6f1b838b	dd5d84eca1bea8f6	Clean	SmallGuardedBehavior
shared	alterinteger	XetexWidenedDuplicate	d93eab7d24db8161	020f15c09bd2c368	Clean	SmallGuardedBehavior
shared	alterpagesofar	TexCompatibleDuplicate	13cc62349f119bf7	13cc62349f119bf7	Clean	IdenticalAfterNormalization
shared	alterprevgraf	XetexWidenedDuplicate	a8ccaa766904a6c0	c55e3eff8443c027	Clean	SmallGuardedBehavior
shared	appendchoices	TexCompatibleDuplicate	b4c10698cca4b6dc	b4c10698cca4b6dc	Clean	IdenticalAfterNormalization
shared	appenddiscretionary	XetexWidenedDuplicate	d36adc56b41de876	a12ae545e11a0735	Clean	SmallGuardedBehavior
shared	appendglue	XetexWidenedDuplicate	bf832edb12f8dfea	95bdd5eff346f338	Clean	SmallGuardedBehavior
shared	appenditaliccorrection	BoundaryAdapterRequired	962d803ea171f27a	828430ee32ab52e1	get_native_glyph_italic_correction,get_native_italic_correction	HostBoundaryDifference
shared	appendkern	TexCompatibleDuplicate	698506fec824e466	698506fec824e466	Clean	IdenticalAfterNormalization
shared	appendpenalty	TexCompatibleDuplicate	95d11c21ae488332	95d11c21ae488332	Clean	IdenticalAfterNormalization
shared	appendsrcspecial	StrippedSourceSpecial	81ef5b2fbc8db903	81ef5b2fbc8db903	Clean	IdenticalAfterNormalization
shared	appspace	XetexWidenedDuplicate	df4f8a60e2020d79	d760a2cd81361268	Clean	StateLayoutDifference
shared	backerror	TexCompatibleDuplicate	c0afd406132e3636	c0afd406132e3636	Clean	IdenticalAfterNormalization
shared	backinput	XetexWidenedDuplicate	64cd88ddeab648b5	895fa8e0f2f5d7cf	Clean	LargeSemanticDivergence
shared	begindiagnostic	XetexWidenedDuplicate	72cd2d0905f5f3f2	856d5f57bafe0d13	Clean	StateLayoutDifference
shared	beginfilereading	XetexWidenedDuplicate	3314993d8ffe3042	63926c6f69c2d58d	Clean	SmallGuardedBehavior
shared	begininsertoradjust	XetexWidenedDuplicate	9c3ede9ea44248b5	6c18586267cd13ef	Clean	LargeSemanticDivergence
shared	beginname	XetexWidenedDuplicate	7685dc88dccdb0b3	fbb2cf4887a335ec	Clean	LargeSemanticDivergence
shared	bigopspacing1	XetexWidenedDuplicate	-	eedcc788611ec07e	Clean	IdenticalAfterNormalization
shared	bigopspacing2	XetexWidenedDuplicate	-	13fe74d68a260ce5	Clean	IdenticalAfterNormalization
shared	bigopspacing3	XetexWidenedDuplicate	-	634262df1c2acb76	Clean	IdenticalAfterNormalization
shared	bigopspacing4	XetexWidenedDuplicate	-	2d57001647df35b3	Clean	IdenticalAfterNormalization
shared	bigopspacing5	XetexWidenedDuplicate	-	24943ed3ab0254d4	Clean	IdenticalAfterNormalization
shared	buildchoices	XetexWidenedDuplicate	acef5c553dfc8bbf	3337bdebeb212a3d	Clean	SmallGuardedBehavior
shared	builddiscretionary	XetexWidenedDuplicate	30b93043b2dffc7c	14bbb1f0827ae648	Clean	LargeSemanticDivergence
shared	checkoutervalidity	XetexWidenedDuplicate	c6e5e5a70ffb96bc	9acf9dc3188f76fa	Clean	LargeSemanticDivergence
